,text,label,predicted_result
0,17 Times Ali Wong Spoke Hilarious Truths About Adulthood,clickbait,clickbait
1,"Ward Watch: Congested roads, encroachment on mangrove land  key problems in K West",news,news
2,Plan for world-class concert hall in City of London back on track,news,news
3,Photos Capture Panic And Chaos After Deadly Ft. Lauderdale Airport Shooting,clickbait,clickbait
4,Manchester United still making up for Louis vanGaals expensive lost time | Paul Wilson,news,news
5,7 Tailgating Superstitions Proven To Help Your Team Win,clickbait,clickbait
6,Man arrested from Kanpur for murder in Navi Mumbai mosque,news,news
7,New Years eve: Over 450 arrested in Kolkata,news,news
8,8 Kittens That God Forbid Could Be Used To Prop Up A Wobbly Table,clickbait,clickbait
9,Coalition 'cherry picking' data to support cashless welfare card trial,news,news
10,Busted! A Coworker Who Never Dresses Up Thought He Could Wear Nice Clothes And Not Have Everyone,clickbait,clickbait
11,21 Signs You're Too Old For This Sh*t,clickbait,clickbait
12,"Bernie Sanders Is Demanding Trump Fire ""Racist"" Steve Bannon",clickbait,clickbait
13,Meet Shane: The Single Greatest Walmart Employee Of All Time. I Died Laughing At #11,clickbait,clickbait
14,12 Stars Over 30 We Fell In Love With In 2014,clickbait,clickbait
15,Case against South Korean MD for manhandling Chennai employee,news,news
16,23 Photos Of Animals And Their Parents That Will Melt Your Heart. The Otters Are TOO MUCH,clickbait,clickbait
17,'I do solemnly swear': how will Trump uphold the constitution when hes a threat to it? | Richard Ackland,news,news
18,"BuzzFeed publishes unsubstantiated Trump report, raising ethics questions",news,news
19,Talking Horses: Saturdays best bets for Kempton and Warwick | Chris Cook,news,news
20,Uber cab rape case: Court records statements of two cops,news,news
21,This Awesome Piece Of Furniture Will Make Your House The Favorite Among Your Friends,clickbait,clickbait
22,Priyanka Gandhi credited with clinching SP alliance - Times of India,clickbait,news
23,How airlines can fly around new carbon rules,news,news
24,Two families in mourning,news,news
25,23 Awkward Family Photos Only White People Would Take. This Is Painful.,clickbait,clickbait
26,Its time we gave tea farmers a break,news,news
27,A TV Channel Showed How Women Can Hide Bruises From Domestic Violence,clickbait,clickbait
28,These Frozen Flowers Look Like Something Out Of A Dream,clickbait,clickbait
29,Scott Pruitt confirmation hearing for Environmental Protection Agency: the key points,news,news
30,"Zaha Hadid leaves 67m fortune, architect's will reveals",news,news
31,27 People On Tinder Who Absolutely Deserve A Swipe Right,clickbait,clickbait
32,7 Sports That Are More Popular Internationally Than American Football,clickbait,clickbait
33,Its Time To Talk To God! We Count Down The 7 Hottest Prayers This Holiday Season,clickbait,clickbait
34,OMG: This Creative Boyfriend Proposed To His Girlfriend Without An Elaborate Viral Video,clickbait,clickbait
35,Mumbai: Online test at colleges for learners driving licence,news,news
36,Families seek justice for Scottish soldiers killed in IRA 'honey trap',news,news
37,"Photos show Japanese whalers killing minke in sanctuary, says Sea Shepherd",news,news
38,Two Billionaires Among Trump Picks For Treasury And Commerce Roles,clickbait,clickbait
39,Maharashtra: Chembur man caught with 10-kg mephedrone is a medicine dealer,news,news
40,17 Awesome Life Hacks You Can Do With Everyday Objects,clickbait,clickbait
41,"La La Land: the ending, the songs, the jazzsplaining discuss with spoilers",news,news
42,15 Youtube Comments That Are Even Better Than Their Videos,clickbait,clickbait
43,Aljaz Bedene loses to Victor Estrella Burgos in Australian Open first round,news,news
44,BMC polls: Uddhav Thackeray declines to comment on alliance with BJP,news,news
45,The article that changed my view   of what journalism can achieve,news,news
46,13 Dogs Having The Best Day Ever. The Dog in the Bath Is Hilarious!,clickbait,clickbait
47,CM Chandy plays down Hummer horror as unfortunate death,news,news
48,Missouri Execution Drug Purchases Revealed,clickbait,clickbait
49,"The Coffee At Luke's Diner On ""Gilmore Girls"" Is Actually Tim Hortons",clickbait,clickbait
50,"Former Haryana Chief Minister Bhajan Lals son, Kuldeep Bishnoi, ex-MP, sitting MLA, now a cricket dad",news,news
51,Grandparents miss out on tax credits that could boost state pension,news,news
52,19 Cats And Dogs Who Will Never Part With Their Favorite Toy,clickbait,clickbait
53,The Toughest Memory Test You Will Take This Week,clickbait,clickbait
54,Joint press conference: Congress runs into opposition in Opposition,news,news
55,Dont like listening to music? You may have reduced brain connectivity,news,news
56,Say Goodbye To The Obamas,clickbait,clickbait
57,8 Female Sloths That We Bet Male Sloths Would Find Pretty Attractive,clickbait,clickbait
58,Coming soon: First-of-its-kind Indian sign language dictionary,news,news
59,"China marks 50 years of Tibet government, lauds its economic successes",news,news
60,Biggest Emmy Nomination Snubs,clickbait,clickbait
61,"BMC polls: As alliance with BJP in limbo, Uddhav Thackeray targets PM Modi",news,news
62,When You See These 30 Swarms Of Adorable Puppies Your Heart Will Melt,clickbait,clickbait
63,Indias death bowling will improve with more T20s: Virat Kohli,news,news
64,"US: One dead, multiple injured in San Antonio shopping mall shooting",news,news
65,35 Movies That Are Turning 10 Years Old In 2015,clickbait,clickbait
